startValue,endValue,quantity,gids
7660000,7669999,0,[]
7670000,7679999,0,[]
7680000,7689999,0,[]
7690000,7699999,0,[]
7700000,7709999,0,[]
7710000,7719999,0,[]
7720000,7729999,0,[]
7730000,7739999,0,[]
7740000,7749999,0,[]
7750000,7759999,0,[]
7760000,7769999,0,[]
7770000,7779999,0,[]
7780000,7789999,0,[]
7790000,7799999,0,[]
7800000,7809999,0,[]
7810000,7819999,0,[]
7820000,7829999,0,[]
7830000,7839999,0,[]
7840000,7849999,0,[]
7850000,7859999,0,[]
7860000,7869999,0,[]
7870000,7879999,0,[]
7880000,7889999,0,[]
7890000,7899999,0,[]
7900000,7909999,0,[]
7910000,7919999,0,[]
7920000,7929999,0,[]
7930000,7939999,0,[]
7940000,7949999,0,[]
7950000,7959999,0,[]
7960000,7969999,0,[]
7970000,7979999,0,[]
7980000,7989999,0,[]
7990000,7999999,0,[]
8000000,8009999,0,[]
8010000,8019999,0,[]
8020000,8029999,0,[]
8030000,8039999,0,[]
8040000,8049999,0,[]
8050000,8059999,0,[]
8060000,8069999,0,[]
8070000,8079999,0,[]
8080000,8089999,0,[]
8090000,8099999,0,[]
8100000,8109999,0,[]
8110000,8119999,0,[]
8120000,8129999,0,[]
8130000,8139999,0,[]
8140000,8149999,0,[]
8150000,8159999,0,[]
8160000,8169999,0,[]
8170000,8179999,0,[]
8180000,8189999,0,[]
8190000,8199999,0,[]
8200000,8209999,0,[]
8210000,8219999,0,[]
8220000,8229999,0,[]
8230000,8239999,0,[]
8240000,8249999,0,[]
8250000,8259999,0,[]
8260000,8269999,0,[]
8270000,8279999,0,[]
8280000,8289999,0,[]
8290000,8299999,0,[]
8300000,8309999,0,[]
8310000,8319999,0,[]
8320000,8329999,0,[]
8330000,8339999,0,[]
8340000,8349999,0,[]
8350000,8359999,0,[]
8360000,8369999,0,[]
8370000,8379999,0,[]
8380000,8389999,0,[]
8390000,8399999,0,[]
8400000,8409999,0,[]
8410000,8419999,0,[]
8420000,8429999,0,[]
